module,type,name,res_id,src,value
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_approve_multi_request_form,Approve Multi Request,Approve Multi Request
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_daily_consumption_form,Daily Consumptions,Consuno Diario Granjas
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_manufacture_request_report_wizard,Hoja Producción Alimento,Hoja Producción Alimento
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_merge_to_make_mo,Merge and Make MOs,Merge and Make MOs
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_mrp_request_form,Solicitud de Alimentos,Solicitud de Alimentos
mrp_ricopollo,model,"ir.actions.act_window,name",mrp_ricopollo.action_temperature_warehouse_form,Temperature,Temperature
mrp_ricopollo,aeroo,manufacture_request_report,0,Pedido de Producción Alimento Balanceado,Pedido de Producción Alimento Balanceado
mrp_ricopollo,aeroo,manufacture_request_report,0,Fecha de pedido:,Fecha de pedido:
mrp_ricopollo,aeroo,manufacture_request_report,0,Tipo:,Tipo:
mrp_ricopollo,aeroo,manufacture_request_report,0,Nr.,Nr.
mrp_ricopollo,aeroo,manufacture_request_report,0,Granja,Granja
mrp_ricopollo,aeroo,manufacture_request_report,0,Nombre Granjero,Nombre Granjero
mrp_ricopollo,aeroo,manufacture_request_report,0,Total Pollos,Total Pollos
mrp_ricopollo,aeroo,manufacture_request_report,0,Tipo de Alimento,Tipo de Alimento
mrp_ricopollo,aeroo,manufacture_request_report,0,Cantidad (qq),Cantidad (qq)
mrp_ricopollo,aeroo,manufacture_request_report,0,Observaciones,Observaciones
mrp_ricopollo,aeroo,manufacture_request_report,0,Totales,Totales
mrp_ricopollo,aeroo,manufacture_request_report,0,Totales por tipo de Alimento,Totales por tipo de Alimento
mrp_ricopollo,aeroo,manufacture_request_report,0,Tipo de Alimento,Tipo de Alimento
mrp_ricopollo,aeroo,manufacture_request_report,0,Totales,Totales
mrp_ricopollo,aeroo,manufacture_request_report,0, $(, $(
mrp_ricopollo,aeroo,manufacture_request_report,0, $-, $-
mrp_ricopollo,aeroo,manufacture_request_report,0,???,???
mrp_ricopollo,aeroo,manufacture_request_report,0,Page ,Page 
mrp_ricopollo,aeroo,manufacture_request_report,0,???,???
mrp_ricopollo,aeroo,manufacture_request_report,0,???,???
mrp_ricopollo,aeroo,manufacture_request_report,0,00/00/0000,00/00/0000
mrp_ricopollo,aeroo,manufacture_request_report,0,00:00:00,00:00:00
mrp_ricopollo,aeroo,manufacture_request_report,0,Page ,Page 
mrp_ricopollo,aeroo,manufacture_request_report,0,99,99
mrp_ricopollo,model,"ir.actions.report.xml,name",mrp_ricopollo.aeroo_manufacture_request_id,MRP Request Report,MRP Request Report
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_account_move_line,Journal Items,Elementos del Diario
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_approve_multi_request_form,approve.multi.request.form,approve.multi.request.form
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_daily_consumption,Email Thread,Hilo de Mensajes
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_daily_consumption_dead,daily.consumption.dead,daily.consumption.dead
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_daily_consumption_material,daily.consumption.material,daily.consumption.material
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_dead_chickens_daily,dead.chickens.daily,dead.chickens.daily
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_history_cycle_form,Email Thread,Hilo de Mensajes
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_manufacture_request_report_wizard,manufacture.request.report.wizard,manufacture.request.report.wizard
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_merge_to_make_mo,merge.to.make.mo,merge.to.make.mo
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_mrp_production,Manufacturing Order,Orden de Producción
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_mrp_product_produce,Product Produce,Producir producto
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_mrp_request_form,Email Thread,Hilo de Mensajes
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_mrp_request_form_line,mrp.request.form.line,mrp.request.form.line
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_purchase_order,Purchase Order,Orden de Compra
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_res_users,Users,Usuarios
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_stock_location,Inventory Locations,Ubicaciones de inventario
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_stock_move,Stock Move,Movimiento de Stock
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_stock_picking,Picking List,Lista de Remitos
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_stock_warehouse,Warehouse,Almacén
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_temperature_warehouse,Email Thread,Hilo de Mensajes
mrp_ricopollo,model,"ir.model,name",mrp_ricopollo.model_temperature_warehouse_detail,temperature.warehouse.detail,temperature.warehouse.detail
mrp_ricopollo,field,"account.move.line,closed_cycle",0,Closed Cycle,Closed Cycle
mrp_ricopollo,field,"account.move.line,stock_move_id",0,Stock Move,Stock Move
mrp_ricopollo,field,"approve.multi.request.form,create_date",0,Created on,Created on
mrp_ricopollo,field,"approve.multi.request.form,create_uid",0,Created by,Created by
